# Star Fox 2 한국어 번역 (일본판 원문 기준)
# 형식: 번호|번역문   (#으로 시작하는 줄은 주석)
# 태그: {START} {SELECT} [Y] [X] [A] [B] [L] [R] [+] [▶]
# 공백은 자동 줄바꿈 위치가 되므로 원문처럼 적당히 끊어 주세요. "=원문" 은 원본 바이트 유지.
092|코네리아를 지키고 있는 새틀라이트 시스템일세.
093|새틀라이트 시스템이 적에게 점거당했네! 되찾아 주게!!
094|=
095|=
096|=
097|=
098|=
099|=
100|=
101|=
102|=
103|=
104|마더십으로 이동 할까요?                예                   {11}아니오
105|커서를 움직여 [B]로 마더십의 이동할 곳을 정해 주십시오.
106|새틀라이트 시스템을 되찾았네. 수고했네!
107|[▶]
108|마더십으로 돌아가면 아윙의 실드를 회복할 수 있습니다.
109|크아~!!! 끝장일세~! 코네리아가 괴멸이야~!!
110|웬 쥐새끼들이 쪼르르 돌아다니는 모양이구나 재미있군···
111|가서 놀아 주거라! 봐주면서 해야 한다! 가하하하!!
112|가하하하하!! 조금은 씹는 맛이 있어야 재미있지 않겠느냐!
113|코네리아를 향해 행성간 미사일 발사다!
114|코네리아를 플래닛 캐논의 사정권에 잡았다! 가하하!
115|이거나 받아라! 플래닛 캐논 발사!!!
116|흥 제법이구나 하지만 싸움은 지금부터다!!
117|흐흐흐 그 정도로 우쭐해하다니 태평한 놈들이로구나···
118|장난은 여기까지다 가라! 그리고 놈들을 짓밟아 버려라!!
119|여기까지 해내다니 대단하구나! 이건 즐겁게 해 준 답례다!
120|공격 항공모함 전속력! 코네리아로! 플래닛 캐논 준비!!
121|[X]로 부스트를 쓸 수 있어! 잘 기억해 둬!
122|아윙의 부스트는 [X]버튼이야! 가속할 수 있다고!
123|[X]를 누르고 있는 동안 부스트로 가속할 수 있다!
124|[X]를 누르고 있는 동안 부스트로 빨리 날 수 있개굴!
125|가속하고 싶으면 [X]를 누르고 있는 동안 부스트하는 거야!
126|[X]를 누르고 있는 동안 부스트해서 빨리 날 수 있어요!
127|[X]버튼 부스트로 추격하는 거야!
128|어물대지 마! [X]부스트를 쓰라고
129|꽤 멀리 있다 [X]부스트를 써라!
130|저렇게 멀리 있개굴! [X]부스트로 가속이야!
131|꽤 멀리 있어! [X]부스트로 쫓아가자!
132|[X]부스트를 써서 쫓아가야 해요!!
133|크윽··· 나를 진심으로 만들다니··· 배짱 있는 놈들이로다!!
134|플래닛 캐논의 에너지 충전을 포착했네! 적 항공모함으로 향하게!
135|플래닛 캐논에 에너지 충전 중일세 발사 전에 격침시키게!!
136|훌륭한 솜씨로구나 스타폭스!
137|실력이 늘었구나 스타폭스
138|드디어 여기까지 왔느냐! 기다리다 지쳤다
139|대단하구나! 하지만 네놈들의 목숨도 여기까지다!
140|네놈 따위는 결국 페퍼에게 조종당하는 꼭두각시일 뿐이다
141|몇 번이나 방해를 하다니! 코네리아의 개 같으니!!
142|당장 편하게 해 주마 감사히 여기거라!!
143|그때의 원한 결코 잊지 않았다! 각오하거라!!
144|실컷 귀여워해 주마! 울상 짓지나 마라!!
145|큭··· 미사일이 떨어지기 시작했어! 서둘러 파괴해!
146|이 자식! 미사일이 떨어지기 시작했잖아! 서둘러야 해!
147|위험하다! 미사일이 코네리아에 떨어지기 시작했다!!
148|개굴~ 미사일이 코네리아에 떨어지기 시작했개굴~!
149|꺄악! 코네리아로 미사일이 떨어지고 있어! 빨리 부숴야 해!
150|큰일이에요! 미사일이 떨어지기 시작했어요! 어서 격추해요!
151|이제 이 행성에서는 미사일이 발사되지 않을 거야!!
152|흥! 안돌프의 기지 따위 별거 아니라고!
153|좋았어! 이제 이 별에서의 미사일 공격을 봉쇄했다!!
154|해냈다~ 기지를 부쉈으니 이 별에선 미사일 못 쏘지롱~!
155|해냈다! 안돌프의 기지 따위 별거 아니네!
156|기지가 없으면 이 별에서 미사일을 쏘아 올릴 수 없죠!
157|오케이! 이 녀석을 쳐 두면 싸움이 꽤 편해질 거야!
158|덩치만 크고 씹는 맛이 전혀 없잖아!
159|이제 적 공격 부대도 조금은 수가 줄겠지!
160|안돌프 항공모함 따위 식은 죽 먹기개굴! 누워서 떡 먹기개굴!!
161|항공모함을 격침하면 안의 공격 부대도 같이 산산조각이지!
162|항공모함을 쳐 두면 공격 부대도 줄고 꽤 편해질 거예요!
163|으오옷!!  역시 스타폭스! 이 정도 실력일 줄이야···
164|끼에엑! 울프 두목, 뒷일은 부탁합니다요!
165|이, 이런 녀석한테···!! 나도 한물갔구마이~!!
166|끼이익! 분하다~!! 두고 보자~!! 젠장~!!
167|오늘은 내가 졌다···. 이 빚은 반드시 갚아 주마!!
168|잠깐! 거기까지다! 스타울프의 레온 지금 등장!!!
169|거기 서라 이놈아~! 스타울프의 피그마 등장! 각오해라이!!!
170|알지 님의 등장이시다! 제멋대로 굴게 두진 않는다구!!
171|페퍼한테 넘어가서 우쭐대기는! 재수 없는 녀석이군!!
172|울프 두목이 맡은 일이라··· 여기서 사라져 줘야겠어!
173|안돌프한테 두둑이 받았는데 쉬운 일이구마이~!!
174|스타폭스 녀석들 따위 별거 아니라고 두목이 그랬다구!!
175|애송이가 까불면 어떻게 되는지 똑똑히 가르쳐 주마!!
176|새틀라이트 시스템이 적의 손에 넘어갔네! 당장 되찾게!!
177|장사 경쟁자는 이쯤에서 사라져 줘야겠군!!
178|기기긱!      제법이군 스타폭스!! 하지만 지지 않는다!!!
179|제법이구마 하지만 결국엔 애기 수준이다 아이가
180|이런 짓을 하고 무사할 거라 생각하지 마라~! 끼~~!!
181|거기 서라, 스타폭스!! 여기부턴 못 지나가게 해 주지!
182|해냈구나! 그런데 좀처럼 안 나와서 걱정했어!!
183|흥! 걱정시키기는 내가 갈 걸 그랬어
184|괜찮으냐? 하마터면 같이 떨어질 뻔했구나!
185|개굴~! 같이 당하는 줄 알고 조마조마했개굴!
186|해냈네! 그런데 어떻게 되나 했잖아!
187|휴우! 무사히 탈출한 것 같네요 다행이에요!
188|괜찮아! 내 실력을 믿으라고!!
189|흥! 건방진 소리 하지 마! 식은 죽 먹기라고!!
190|걱정 마시게! 보다시피 노 프라블럼이다!!
191|그렇개굴! 나도 스스로 두근두근했개굴!!
192|무슨 소리야! 내가 누군 줄 알고!!
193|어머? 이 정도는 전~혀 문제없어요! 여유 있었는걸요!!
194|마더십일세. 아윙의 실드 회복과 행성간 워프를 할 수 있네.
195|새틀라이트 시스템이 코네리아를 공격해 왔네! 어서 되찾게!
196|안심하게, 새틀라이트 시스템이 적을 격추했네.
197|[L]이나 [R]을 빠르게 2번 누르면 롤링으로 적의 공격을 튕겨 내!
198|[L]이나 [R]을 빠르게 2번 누르면 롤링으로 공격을 튕겨 낸다고!
199|빠르게 2번 [L]이나 [R]을 누르거라! 적의 공격을 튕겨 낸다
200|빠르게 2번 [L]이나 [R]을 누르면 적의 공격을 튕겨 내개굴!!
201|[L]이나 [R]을 빠르게 2번 누르면 롤링해서 적의 공격을 튕겨 내!
202|[L]이나 [R]을 빠르게 2번 누르면 롤링으로 공격을 튕겨 내요!
203|만일을 위해 워커의 조작에 대해 설명해 두겠네.
204|[+]로 앞뒤 좌우로 이동하고 [L][R]로 워커의 방향을 바꾸게.
205|빨리 이동할 때는 [+]를 계속 누르면 가속해서 달린다네.
206|점프는 [A]일세. {SELECT}를 누르면 변형할 수 있네.
207|아윙의 변형을 잘 활용하게!
208|새틀라이트 시스템을 적에게 빼앗겼네! 당장 가 주게!!
209|이로써 라일라트계 내의 안돌프군은 일소되었네.
210|이대로 단숨에 안돌프를 쳐부수게!!
211|{SELECT}를 누르면 파트너와 교대할 수 있습니다.
212|점프는 [B]일세. {SELECT}를 누르면 변형할 수 있네.
213|파워 블래스터가 레벨 업해서  호밍한다네.
214|타깃 마커로 록온해서 발사하게!!
215|시크릿 콜로니일세. 들어가 보게.
